
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     600    7017     9.895891E-01  1.423022E+00  9.854250E+01
     600    7017     1.093756E+00  1.423022E+00  9.854250E+01
     600    7017     1.197922E+00  1.423022E+00  9.854250E+01
     600    7017     1.302089E+00  1.423022E+00  9.854250E+01
     600    7017    -1.302078E+00  1.526795E+00  9.854250E+01
     600    7017    -1.197911E+00  1.526795E+00  9.854250E+01
     600    7017    -1.093744E+00  1.526795E+00  9.854250E+01
     600    7017    -9.895775E-01  1.526795E+00  9.854250E+01
     600    7017    -8.854109E-01  1.526795E+00  9.854250E+01
     600    7017    -7.812442E-01  1.526795E+00  9.854250E+01
     600    7017    -6.770775E-01  1.526795E+00  9.854250E+01
     600    7017    -5.729109E-01  1.526795E+00  9.854250E+01
     600    7017    -4.687442E-01  1.526795E+00  9.854250E+01
     600    7017    -3.645775E-01  1.526795E+00  9.854250E+01
     600    7017    -2.604109E-01  1.526795E+00  9.854250E+01
     600    7017    -1.562442E-01  1.526795E+00  9.854250E+01
     600    7017    -5.207753E-02  1.526795E+00  9.854250E+01
     600    7017     5.208914E-02  1.526795E+00  9.854250E+01
     600    7017     1.562558E-01  1.526795E+00  9.854250E+01
     600    7017     2.604225E-01  1.526795E+00  9.854250E+01
     600    7017     3.645891E-01  1.526795E+00  9.854250E+01
     600    7017     4.687558E-01  1.526795E+00  9.854250E+01
     600    7017     5.729225E-01  1.526795E+00  9.854250E+01
     600    7017     6.770891E-01  1.526795E+00  9.854250E+01
     600    7017     7.812558E-01  1.526795E+00  9.854250E+01
     600    7017     8.854225E-01  1.526795E+00  9.854250E+01
     600    7017     9.895891E-01  1.526795E+00  9.854250E+01
     600    7017     1.093756E+00  1.526795E+00  9.854250E+01
     600    7017     1.197922E+00  1.526795E+00  9.854250E+01
     600    7017     1.302089E+00  1.526795E+00  9.854250E+01
     600    7017    -1.302078E+00  1.630569E+00  9.854250E+01
     600    7017    -1.197911E+00  1.630569E+00  9.854250E+01
     600    7017    -1.093744E+00  1.630569E+00  9.854250E+01
     600    7017    -9.895775E-01  1.630569E+00  9.854250E+01
     600    7017    -8.854109E-01  1.630569E+00  9.854250E+01
     600    7017    -7.812442E-01  1.630569E+00  9.854250E+01
     600    7017    -6.770775E-01  1.630569E+00  9.854250E+01
     600    7017    -5.729109E-01  1.630569E+00  9.854250E+01
     600    7017    -4.687442E-01  1.630569E+00  9.854250E+01
     600    7017    -3.645775E-01  1.630569E+00  9.854250E+01
     600    7017    -2.604109E-01  1.630569E+00  9.854250E+01
     600    7017    -1.562442E-01  1.630569E+00  9.854250E+01
     600    7017    -5.207753E-02  1.630569E+00  9.854250E+01
     600    7017     5.208914E-02  1.630569E+00  9.854250E+01
     600    7017     1.562558E-01  1.630569E+00  9.854250E+01
     600    7017     2.604225E-01  1.630569E+00  9.854250E+01
     600    7017     3.645891E-01  1.630569E+00  9.854250E+01
     600    7017     4.687558E-01  1.630569E+00  9.854250E+01
     600    7017     5.729225E-01  1.630569E+00  9.854250E+01
     600    7017     6.770891E-01  1.630569E+00  9.854250E+01
     600    7017     7.812558E-01  1.630569E+00  9.854250E+01
     600    7017     8.854225E-01  1.630569E+00  9.854250E+01
     600    7017     9.895891E-01  1.630569E+00  9.854250E+01
     600    7017     1.093756E+00  1.630569E+00  9.854250E+01
     600    7017     1.197922E+00  1.630569E+00  9.854250E+01
     600    7017     1.302089E+00  1.630569E+00  9.854250E+01
     600    7017    -1.302078E+00  1.734342E+00  9.854250E+01
     600    7017    -1.197911E+00  1.734342E+00  9.854250E+01
     600    7017    -1.093744E+00  1.734342E+00  9.854250E+01
     600    7017    -9.895775E-01  1.734342E+00  9.854250E+01
     600    7017    -8.854109E-01  1.734342E+00  9.854250E+01
     600    7017    -7.812442E-01  1.734342E+00  9.854250E+01
     600    7017    -6.770775E-01  1.734342E+00  9.854250E+01
     600    7017    -5.729109E-01  1.734342E+00  9.854250E+01
     600    7017    -4.687442E-01  1.734342E+00  9.854250E+01
     600    7017    -3.645775E-01  1.734342E+00  9.854250E+01
     600    7017    -2.604109E-01  1.734342E+00  9.854250E+01
     600    7017    -1.562442E-01  1.734342E+00  9.854250E+01
     600    7017    -5.207753E-02  1.734342E+00  9.854250E+01
     600    7017     5.208914E-02  1.734342E+00  9.854250E+01
     600    7017     1.562558E-01  1.734342E+00  9.854250E+01
     600    7017     2.604225E-01  1.734342E+00  9.854250E+01
     600    7017     3.645891E-01  1.734342E+00  9.854250E+01
     600    7017     4.687558E-01  1.734342E+00  9.854250E+01
     600    7017     5.729225E-01  1.734342E+00  9.854250E+01
     600    7017     6.770891E-01  1.734342E+00  9.854250E+01
     600    7017     7.812558E-01  1.734342E+00  9.854250E+01
     600    7017     8.854225E-01  1.734342E+00  9.854250E+01
     600    7017     9.895891E-01  1.734342E+00  9.854250E+01
     600    7017     1.093756E+00  1.734342E+00  9.854250E+01
     600    7017     1.197922E+00  1.734342E+00  9.854250E+01
     600    7017     1.302089E+00  1.734342E+00  9.854250E+01
     600    7017    -1.302078E+00  1.838116E+00  9.854250E+01
     600    7017    -1.197911E+00  1.838116E+00  9.854250E+01
     600    7017    -1.093744E+00  1.838116E+00  9.854250E+01
     600    7017    -9.895775E-01  1.838116E+00  9.854250E+01
     600    7017    -8.854109E-01  1.838116E+00  9.854250E+01
     600    7017    -7.812442E-01  1.838116E+00  9.854250E+01
     600    7017    -6.770775E-01  1.838116E+00  9.854250E+01
     600    7017    -5.729109E-01  1.838116E+00  9.854250E+01
     600    7017    -4.687442E-01  1.838116E+00  9.854250E+01
     600    7017    -3.645775E-01  1.838116E+00  9.854250E+01
     600    7017    -2.604109E-01  1.838116E+00  9.854250E+01
     600    7017    -1.562442E-01  1.838116E+00  9.854250E+01
     600    7017    -5.207753E-02  1.838116E+00  9.854250E+01
     600    7017     5.208914E-02  1.838116E+00  9.854250E+01
     600    7017     1.562558E-01  1.838116E+00  9.854250E+01
     600    7017     2.604225E-01  1.838116E+00  9.854250E+01
     600    7017     3.645891E-01  1.838116E+00  9.854250E+01
     600    7017     4.687558E-01  1.838116E+00  9.854250E+01
     600    7017     5.729225E-01  1.838116E+00  9.854250E+01
     600    7017     6.770891E-01  1.838116E+00  9.854250E+01
     600    7017     7.812558E-01  1.838116E+00  9.854250E+01
     600    7017     8.854225E-01  1.838116E+00  9.854250E+01
     600    7017     9.895891E-01  1.838116E+00  9.854250E+01
     600    7017     1.093756E+00  1.838116E+00  9.854250E+01
     600    7017     1.197922E+00  1.838116E+00  9.854250E+01
     600    7017     1.302089E+00  1.838116E+00  9.854250E+01

Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     600    7041    -1.302078E+00 -1.275092E+00  9.854250E+01
     600    7041    -1.197911E+00 -1.275092E+00  9.854250E+01
     600    7041    -1.093744E+00 -1.275092E+00  9.854250E+01
     600    7041    -9.895775E-01 -1.275092E+00  9.854250E+01
     600    7041    -8.854109E-01 -1.275092E+00  9.854250E+01
     600    7041    -7.812442E-01 -1.275092E+00  9.854250E+01
     600    7041    -6.770775E-01 -1.275092E+00  9.854250E+01
     600    7041    -5.729109E-01 -1.275092E+00  9.854250E+01
     600    7041    -4.687442E-01 -1.275092E+00  9.854250E+01
     600    7041    -3.645775E-01 -1.275092E+00  9.854250E+01
     600    7041    -2.604109E-01 -1.275092E+00  9.854250E+01
     600    7041    -1.562442E-01 -1.275092E+00  9.854250E+01
     600    7041    -5.207753E-02 -1.275092E+00  9.854250E+01
     600    7041     5.208914E-02 -1.275092E+00  9.854250E+01
     600    7041     1.562558E-01 -1.275092E+00  9.854250E+01
     600    7041     2.604225E-01 -1.275092E+00  9.854250E+01
     600    7041     3.645891E-01 -1.275092E+00  9.854250E+01
     600    7041     4.687558E-01 -1.275092E+00  9.854250E+01
     600    7041     5.729225E-01 -1.275092E+00  9.854250E+01
     600    7041     6.770891E-01 -1.275092E+00  9.854250E+01
     600    7041     7.812558E-01 -1.275092E+00  9.854250E+01
     600    7041     8.854225E-01 -1.275092E+00  9.854250E+01
     600    7041     9.895891E-01 -1.275092E+00  9.854250E+01
     600    7041     1.093756E+00 -1.275092E+00  9.854250E+01
     600    7041     1.197922E+00 -1.275092E+00  9.854250E+01
     600    7041     1.302089E+00 -1.275092E+00  9.854250E+01
     600    7041    -1.302078E+00 -1.171318E+00  9.854250E+01
     600    7041    -1.197911E+00 -1.171318E+00  9.854250E+01
     600    7041    -1.093744E+00 -1.171318E+00  9.854250E+01
     600    7041    -9.895775E-01 -1.171318E+00  9.854250E+01
     600    7041    -8.854109E-01 -1.171318E+00  9.854250E+01
     600    7041    -7.812442E-01 -1.171318E+00  9.854250E+01
     600    7041    -6.770775E-01 -1.171318E+00  9.854250E+01
     600    7041    -5.729109E-01 -1.171318E+00  9.854250E+01
     600    7041    -4.687442E-01 -1.171318E+00  9.854250E+01
     600    7041    -3.645775E-01 -1.171318E+00  9.854250E+01
     600    7041    -2.604109E-01 -1.171318E+00  9.854250E+01
     600    7041    -1.562442E-01 -1.171318E+00  9.854250E+01
     600    7041    -5.207753E-02 -1.171318E+00  9.854250E+01
     600    7041     5.208914E-02 -1.171318E+00  9.854250E+01
     600    7041     1.562558E-01 -1.171318E+00  9.854250E+01
     600    7041     2.604225E-01 -1.171318E+00  9.854250E+01
     600    7041     3.645891E-01 -1.171318E+00  9.854250E+01
     600    7041     4.687558E-01 -1.171318E+00  9.854250E+01
     600    7041     5.729225E-01 -1.171318E+00  9.854250E+01
     600    7041     6.770891E-01 -1.171318E+00  9.854250E+01
     600    7041     7.812558E-01 -1.171318E+00  9.854250E+01
     600    7041     8.854225E-01 -1.171318E+00  9.854250E+01
     600    7041     9.895891E-01 -1.171318E+00  9.854250E+01
     600    7041     1.093756E+00 -1.171318E+00  9.854250E+01
     600    7041     1.197922E+00 -1.171318E+00  9.854250E+01
     600    7041     1.302089E+00 -1.171318E+00  9.854250E+01
     600    7041    -1.302078E+00 -1.067544E+00  9.854250E+01
     600    7041    -1.197911E+00 -1.067544E+00  9.854250E+01
     600    7041    -1.093744E+00 -1.067544E+00  9.854250E+01
     600    7041    -9.895775E-01 -1.067544E+00  9.854250E+01
     600    7041    -8.854109E-01 -1.067544E+00  9.854250E+01
     600    7041    -7.812442E-01 -1.067544E+00  9.854250E+01
     600    7041    -6.770775E-01 -1.067544E+00  9.854250E+01
     600    7041    -5.729109E-01 -1.067544E+00  9.854250E+01
     600    7041    -4.687442E-01 -1.067544E+00  9.854250E+01
     600    7041    -3.645775E-01 -1.067544E+00  9.854250E+01
     600    7041    -2.604109E-01 -1.067544E+00  9.854250E+01
     600    7041    -1.562442E-01 -1.067544E+00  9.854250E+01
     600    7041    -5.207753E-02 -1.067544E+00  9.854250E+01
     600    7041     5.208914E-02 -1.067544E+00  9.854250E+01
     600    7041     1.562558E-01 -1.067544E+00  9.854250E+01
     600    7041     2.604225E-01 -1.067544E+00  9.854250E+01
     600    7041     3.645891E-01 -1.067544E+00  9.854250E+01
     600    7041     4.687558E-01 -1.067544E+00  9.854250E+01
     600    7041     5.729225E-01 -1.067544E+00  9.854250E+01
     600    7041     6.770891E-01 -1.067544E+00  9.854250E+01
     600    7041     7.812558E-01 -1.067544E+00  9.854250E+01
     600    7041     8.854225E-01 -1.067544E+00  9.854250E+01
     600    7041     9.895891E-01 -1.067544E+00  9.854250E+01
     600    7041     1.093756E+00 -1.067544E+00  9.854250E+01
     600    7041     1.197922E+00 -1.067544E+00  9.854250E+01
     600    7041     1.302089E+00 -1.067544E+00  9.854250E+01
     600    7041    -1.302078E+00 -9.637708E-01  9.854250E+01
     600    7041    -1.197911E+00 -9.637708E-01  9.854250E+01
     600    7041    -1.093744E+00 -9.637708E-01  9.854250E+01
     600    7041    -9.895775E-01 -9.637708E-01  9.854250E+01
     600    7041    -8.854109E-01 -9.637708E-01  9.854250E+01
     600    7041    -7.812442E-01 -9.637708E-01  9.854250E+01
     600    7041    -6.770775E-01 -9.637708E-01  9.854250E+01
     600    7041    -5.729109E-01 -9.637708E-01  9.854250E+01
     600    7041    -4.687442E-01 -9.637708E-01  9.854250E+01
     600    7041    -3.645775E-01 -9.637708E-01  9.854250E+01
     600    7041    -2.604109E-01 -9.637708E-01  9.854250E+01
     600    7041    -1.562442E-01 -9.637708E-01  9.854250E+01
     600    7041    -5.207753E-02 -9.637708E-01  9.854250E+01
     600    7041     5.208914E-02 -9.637708E-01  9.854250E+01
     600    7041     1.562558E-01 -9.637708E-01  9.854250E+01
     600    7041     2.604225E-01 -9.637708E-01  9.854250E+01
     600    7041     3.645891E-01 -9.637708E-01  9.854250E+01
     600    7041     4.687558E-01 -9.637708E-01  9.854250E+01
     600    7041     5.729225E-01 -9.637708E-01  9.854250E+01
     600    7041     6.770891E-01 -9.637708E-01  9.854250E+01
     600    7041     7.812558E-01 -9.637708E-01  9.854250E+01
     600    7041     8.854225E-01 -9.637708E-01  9.854250E+01
     600    7041     9.895891E-01 -9.637708E-01  9.854250E+01
     600    7041     1.093756E+00 -9.637708E-01  9.854250E+01
     600    7041     1.197922E+00 -9.637708E-01  9.854250E+01
     600    7041     1.302089E+00 -9.637708E-01  9.854250E+01
     600    7041    -1.302078E+00 -8.599972E-01  9.854250E+01
     600    7041    -1.197911E+00 -8.599972E-01  9.854250E+01
     600    7041    -1.093744E+00 -8.599972E-01  9.854250E+01
     600    7041    -9.895775E-01 -8.599972E-01  9.854250E+01
     600    7041    -8.854109E-01 -8.599972E-01  9.854250E+01
     600    7041    -7.812442E-01 -8.599972E-01  9.854250E+01
     600    7041    -6.770775E-01 -8.599972E-01  9.854250E+01
     600    7041    -5.729109E-01 -8.599972E-01  9.854250E+01
     600    7041    -4.687442E-01 -8.599972E-01  9.854250E+01
     600    7041    -3.645775E-01 -8.599972E-01  9.854250E+01
     600    7041    -2.604109E-01 -8.599972E-01  9.854250E+01
     600    7041    -1.562442E-01 -8.599972E-01  9.854250E+01
     600    7041    -5.207753E-02 -8.599972E-01  9.854250E+01
     600    7041     5.208914E-02 -8.599972E-01  9.854250E+01
     600    7041     1.562558E-01 -8.599972E-01  9.854250E+01
     600    7041     2.604225E-01 -8.599972E-01  9.854250E+01
     600    7041     3.645891E-01 -8.599972E-01  9.854250E+01
     600    7041     4.687558E-01 -8.599972E-01  9.854250E+01
     600    7041     5.729225E-01 -8.599972E-01  9.854250E+01
     600    7041     6.770891E-01 -8.599972E-01  9.854250E+01
     600    7041     7.812558E-01 -8.599972E-01  9.854250E+01
     600    7041     8.854225E-01 -8.599972E-01  9.854250E+01
     600    7041     9.895891E-01 -8.599972E-01  9.854250E+01
     600    7041     1.093756E+00 -8.599972E-01  9.854250E+01
     600    7041     1.197922E+00 -8.599972E-01  9.854250E+01
     600    7041     1.302089E+00 -8.599972E-01  9.854250E+01
     600    7041    -1.302078E+00 -7.562237E-01  9.854250E+01
     600    7041    -1.197911E+00 -7.562237E-01  9.854250E+01
     600    7041    -1.093744E+00 -7.562237E-01  9.854250E+01
     600    7041    -9.895775E-01 -7.562237E-01  9.854250E+01
     600    7041    -8.854109E-01 -7.562237E-01  9.854250E+01
     600    7041    -7.812442E-01 -7.562237E-01  9.854250E+01
     600    7041    -6.770775E-01 -7.562237E-01  9.854250E+01
     600    7041    -5.729109E-01 -7.562237E-01  9.854250E+01
     600    7041    -4.687442E-01 -7.562237E-01  9.854250E+01
     600    7041    -3.645775E-01 -7.562237E-01  9.854250E+01
     600    7041    -2.604109E-01 -7.562237E-01  9.854250E+01
     600    7041    -1.562442E-01 -7.562237E-01  9.854250E+01
     600    7041    -5.207753E-02 -7.562237E-01  9.854250E+01
     600    7041     5.208914E-02 -7.562237E-01  9.854250E+01
     600    7041     1.562558E-01 -7.562237E-01  9.854250E+01
     600    7041     2.604225E-01 -7.562237E-01  9.854250E+01
     600    7041     3.645891E-01 -7.562237E-01  9.854250E+01
     600    7041     4.687558E-01 -7.562237E-01  9.854250E+01
     600    7041     5.729225E-01 -7.562237E-01  9.854250E+01
     600    7041     6.770891E-01 -7.562237E-01  9.854250E+01
     600    7041     7.812558E-01 -7.562237E-01  9.854250E+01
     600    7041     8.854225E-01 -7.562237E-01  9.854250E+01
     600    7041     9.895891E-01 -7.562237E-01  9.854250E+01
     600    7041     1.093756E+00 -7.562237E-01  9.854250E+01
     600    7041     1.197922E+00 -7.562237E-01  9.854250E+01
     600    7041     1.302089E+00 -7.562237E-01  9.854250E+01
     600    7041    -1.302078E+00 -6.524501E-01  9.854250E+01
     600    7041    -1.197911E+00 -6.524501E-01  9.854250E+01
     600    7041    -1.093744E+00 -6.524501E-01  9.854250E+01
     600    7041    -9.895775E-01 -6.524501E-01  9.854250E+01
     600    7041    -8.854109E-01 -6.524501E-01  9.854250E+01
     600    7041    -7.812442E-01 -6.524501E-01  9.854250E+01
     600    7041    -6.770775E-01 -6.524501E-01  9.854250E+01
     600    7041    -5.729109E-01 -6.524501E-01  9.854250E+01
     600    7041    -4.687442E-01 -6.524501E-01  9.854250E+01
     600    7041    -3.645775E-01 -6.524501E-01  9.854250E+01
     600    7041    -2.604109E-01 -6.524501E-01  9.854250E+01
     600    7041    -1.562442E-01 -6.524501E-01  9.854250E+01
     600    7041    -5.207753E-02 -6.524501E-01  9.854250E+01
     600    7041     5.208914E-02 -6.524501E-01  9.854250E+01
     600    7041     1.562558E-01 -6.524501E-01  9.854250E+01
     600    7041     2.604225E-01 -6.524501E-01  9.854250E+01
     600    7041     3.645891E-01 -6.524501E-01  9.854250E+01
     600    7041     4.687558E-01 -6.524501E-01  9.854250E+01
     600    7041     5.729225E-01 -6.524501E-01  9.854250E+01
     600    7041     6.770891E-01 -6.524501E-01  9.854250E+01
     600    7041     7.812558E-01 -6.524501E-01  9.854250E+01
     600    7041     8.854225E-01 -6.524501E-01  9.854250E+01
     600    7041     9.895891E-01 -6.524501E-01  9.854250E+01
     600    7041     1.093756E+00 -6.524501E-01  9.854250E+01
     600    7041     1.197922E+00 -6.524501E-01  9.854250E+01
     600    7041     1.302089E+00 -6.524501E-01  9.854250E+01
     600    7041    -1.302078E+00 -5.486765E-01  9.854250E+01
     600    7041    -1.197911E+00 -5.486765E-01  9.854250E+01
     600    7041    -1.093744E+00 -5.486765E-01  9.854250E+01
     600    7041    -9.895775E-01 -5.486765E-01  9.854250E+01
     600    7041    -8.854109E-01 -5.486765E-01  9.854250E+01
     600    7041    -7.812442E-01 -5.486765E-01  9.854250E+01
     600    7041    -6.770775E-01 -5.486765E-01  9.854250E+01
     600    7041    -5.729109E-01 -5.486765E-01  9.854250E+01
     600    7041    -4.687442E-01 -5.486765E-01  9.854250E+01
     600    7041    -3.645775E-01 -5.486765E-01  9.854250E+01
     600    7041    -2.604109E-01 -5.486765E-01  9.854250E+01
     600    7041    -1.562442E-01 -5.486765E-01  9.854250E+01
     600    7041    -5.207753E-02 -5.486765E-01  9.854250E+01
     600    7041     5.208914E-02 -5.486765E-01  9.854250E+01
     600    7041     1.562558E-01 -5.486765E-01  9.854250E+01
     600    7041     2.604225E-01 -5.486765E-01  9.854250E+01
     600    7041     3.645891E-01 -5.486765E-01  9.854250E+01
     600    7041     4.687558E-01 -5.486765E-01  9.854250E+01
     600    7041     5.729225E-01 -5.486765E-01  9.854250E+01
     600    7041     6.770891E-01 -5.486765E-01  9.854250E+01
     600    7041     7.812558E-01 -5.486765E-01  9.854250E+01
     600    7041     8.854225E-01 -5.486765E-01  9.854250E+01
     600    7041     9.895891E-01 -5.486765E-01  9.854250E+01
     600    7041     1.093756E+00 -5.486765E-01  9.854250E+01
     600    7041     1.197922E+00 -5.486765E-01  9.854250E+01
     600    7041     1.302089E+00 -5.486765E-01  9.854250E+01
     600    7033    -1.302078E+00 -4.449029E-01  9.854250E+01
     600    7033    -1.197911E+00 -4.449029E-01  9.854250E+01
     600    7033    -1.093744E+00 -4.449029E-01  9.854250E+01
     600    7033    -9.895775E-01 -4.449029E-01  9.854250E+01
     600    7033    -8.854109E-01 -4.449029E-01  9.854250E+01
     600    7033    -7.812442E-01 -4.449029E-01  9.854250E+01
     600    7033    -6.770775E-01 -4.449029E-01  9.854250E+01
     600    7033    -5.729109E-01 -4.449029E-01  9.854250E+01
     600    7033    -4.687442E-01 -4.449029E-01  9.854250E+01
     600    7033    -3.645775E-01 -4.449029E-01  9.854250E+01
     600    7033    -2.604109E-01 -4.449029E-01  9.854250E+01
     600    7033    -1.562442E-01 -4.449029E-01  9.854250E+01
     600    7033    -5.207753E-02 -4.449029E-01  9.854250E+01
     600    7033     5.208914E-02 -4.449029E-01  9.854250E+01
     600    7033     1.562558E-01 -4.449029E-01  9.854250E+01
     600    7033     2.604225E-01 -4.449029E-01  9.854250E+01
     600    7033     3.645891E-01 -4.449029E-01  9.854250E+01
     600    7033     4.687558E-01 -4.449029E-01  9.854250E+01
     600    7033     5.729225E-01 -4.449029E-01  9.854250E+01
     600    7033     6.770891E-01 -4.449029E-01  9.854250E+01
     600    7033     7.812558E-01 -4.449029E-01  9.854250E+01
     600    7033     8.854225E-01 -4.449029E-01  9.854250E+01
     600    7033     9.895891E-01 -4.449029E-01  9.854250E+01
     600    7033     1.093756E+00 -4.449029E-01  9.854250E+01
     600    7033     1.197922E+00 -4.449029E-01  9.854250E+01
     600    7033     1.302089E+00 -4.449029E-01  9.854250E+01
     600    7033    -1.302078E+00 -3.411293E-01  9.854250E+01
     600    7033    -1.197911E+00 -3.411293E-01  9.854250E+01
     600    7033    -1.093744E+00 -3.411293E-01  9.854250E+01
     600    7033    -9.895775E-01 -3.411293E-01  9.854250E+01
     600    7033    -8.854109E-01 -3.411293E-01  9.854250E+01
     600    7033    -7.812442E-01 -3.411293E-01  9.854250E+01
     600    7033    -6.770775E-01 -3.411293E-01  9.854250E+01
     600    7033    -5.729109E-01 -3.411293E-01  9.854250E+01
     600    7033    -4.687442E-01 -3.411293E-01  9.854250E+01
     600    7033    -3.645775E-01 -3.411293E-01  9.854250E+01
     600    7033    -2.604109E-01 -3.411293E-01  9.854250E+01
     600    7033    -1.562442E-01 -3.411293E-01  9.854250E+01
     600    7033    -5.207753E-02 -3.411293E-01  9.854250E+01
     600    7033     5.208914E-02 -3.411293E-01  9.854250E+01
     600    7033     1.562558E-01 -3.411293E-01  9.854250E+01
     600    7033     2.604225E-01 -3.411293E-01  9.854250E+01
     600    7033     3.645891E-01 -3.411293E-01  9.854250E+01
     600    7033     4.687558E-01 -3.411293E-01  9.854250E+01
     600    7033     5.729225E-01 -3.411293E-01  9.854250E+01
     600    7033     6.770891E-01 -3.411293E-01  9.854250E+01
     600    7033     7.812558E-01 -3.411293E-01  9.854250E+01
     600    7033     8.854225E-01 -3.411293E-01  9.854250E+01
     600    7033     9.895891E-01 -3.411293E-01  9.854250E+01
     600    7033     1.093756E+00 -3.411293E-01  9.854250E+01
     600    7033     1.197922E+00 -3.411293E-01  9.854250E+01
     600    7033     1.302089E+00 -3.411293E-01  9.854250E+01
     600    7033    -1.302078E+00 -2.373557E-01  9.854250E+01
     600    7033    -1.197911E+00 -2.373557E-01  9.854250E+01
     600    7033    -1.093744E+00 -2.373557E-01  9.854250E+01
     600    7033    -9.895775E-01 -2.373557E-01  9.854250E+01
     600    7033    -8.854109E-01 -2.373557E-01  9.854250E+01
     600    7033    -7.812442E-01 -2.373557E-01  9.854250E+01
     600    7033    -6.770775E-01 -2.373557E-01  9.854250E+01
     600    7033    -5.729109E-01 -2.373557E-01  9.854250E+01
     600    7033    -4.687442E-01 -2.373557E-01  9.854250E+01
     600    7033    -3.645775E-01 -2.373557E-01  9.854250E+01
     600    7033    -2.604109E-01 -2.373557E-01  9.854250E+01
     600    7033    -1.562442E-01 -2.373557E-01  9.854250E+01
     600    7033    -5.207753E-02 -2.373557E-01  9.854250E+01
     600    7033     5.208914E-02 -2.373557E-01  9.854250E+01
     600    7033     1.562558E-01 -2.373557E-01  9.854250E+01
     600    7033     2.604225E-01 -2.373557E-01  9.854250E+01
     600    7033     3.645891E-01 -2.373557E-01  9.854250E+01
     600    7033     4.687558E-01 -2.373557E-01  9.854250E+01
     600    7033     5.729225E-01 -2.373557E-01  9.854250E+01
     600    7033     6.770891E-01 -2.373557E-01  9.854250E+01
     600    7033     7.812558E-01 -2.373557E-01  9.854250E+01
     600    7033     8.854225E-01 -2.373557E-01  9.854250E+01
     600    7033     9.895891E-01 -2.373557E-01  9.854250E+01
     600    7033     1.093756E+00 -2.373557E-01  9.854250E+01
     600    7033     1.197922E+00 -2.373557E-01  9.854250E+01
     600    7033     1.302089E+00 -2.373557E-01  9.854250E+01
     600    7033    -1.302078E+00 -1.335821E-01  9.854250E+01
     600    7033    -1.197911E+00 -1.335821E-01  9.854250E+01
     600    7033    -1.093744E+00 -1.335821E-01  9.854250E+01
     600    7033    -9.895775E-01 -1.335821E-01  9.854250E+01
     600    7033    -8.854109E-01 -1.335821E-01  9.854250E+01
     600    7033    -7.812442E-01 -1.335821E-01  9.854250E+01
     600    7033    -6.770775E-01 -1.335821E-01  9.854250E+01
     600    7033    -5.729109E-01 -1.335821E-01  9.854250E+01
     600    7033    -4.687442E-01 -1.335821E-01  9.854250E+01
     600    7033    -3.645775E-01 -1.335821E-01  9.854250E+01
     600    7033    -2.604109E-01 -1.335821E-01  9.854250E+01
     600    7033    -1.562442E-01 -1.335821E-01  9.854250E+01
     600    7033    -5.207753E-02 -1.335821E-01  9.854250E+01
     600    7033     5.208914E-02 -1.335821E-01  9.854250E+01
     600    7033     1.562558E-01 -1.335821E-01  9.854250E+01
     600    7033     2.604225E-01 -1.335821E-01  9.854250E+01
     600    7033     3.645891E-01 -1.335821E-01  9.854250E+01
     600    7033     4.687558E-01 -1.335821E-01  9.854250E+01
     600    7033     5.729225E-01 -1.335821E-01  9.854250E+01
     600    7033     6.770891E-01 -1.335821E-01  9.854250E+01
     600    7033     7.812558E-01 -1.335821E-01  9.854250E+01
     600    7033     8.854225E-01 -1.335821E-01  9.854250E+01
     600    7033     9.895891E-01 -1.335821E-01  9.854250E+01
     600    7033     1.093756E+00 -1.335821E-01  9.854250E+01
     600    7033     1.197922E+00 -1.335821E-01  9.854250E+01
     600    7033     1.302089E+00 -1.335821E-01  9.854250E+01
     600    7033    -1.302078E+00 -2.980856E-02  9.854250E+01
     600    7033    -1.197911E+00 -2.980856E-02  9.854250E+01
     600    7033    -1.093744E+00 -2.980856E-02  9.854250E+01
     600    7033    -9.895775E-01 -2.980856E-02  9.854250E+01
     600    7033    -8.854109E-01 -2.980856E-02  9.854250E+01
     600    7033    -7.812442E-01 -2.980856E-02  9.854250E+01
     600    7033    -6.770775E-01 -2.980856E-02  9.854250E+01
     600    7033    -5.729109E-01 -2.980856E-02  9.854250E+01
     600    7033    -4.687442E-01 -2.980856E-02  9.854250E+01
     600    7033    -3.645775E-01 -2.980856E-02  9.854250E+01
     600    7033    -2.604109E-01 -2.980856E-02  9.854250E+01
     600    7033    -1.562442E-01 -2.980856E-02  9.854250E+01
     600    7033    -5.207753E-02 -2.980856E-02  9.854250E+01
     600    7033     5.208914E-02 -2.980856E-02  9.854250E+01
     600    7033     1.562558E-01 -2.980856E-02  9.854250E+01
     600    7033     2.604225E-01 -2.980856E-02  9.854250E+01
     600    7033     3.645891E-01 -2.980856E-02  9.854250E+01
     600    7033     4.687558E-01 -2.980856E-02  9.854250E+01
     600    7033     5.729225E-01 -2.980856E-02  9.854250E+01
     600    7033     6.770891E-01 -2.980856E-02  9.854250E+01
     600    7033     7.812558E-01 -2.980856E-02  9.854250E+01
     600    7033     8.854225E-01 -2.980856E-02  9.854250E+01
     600    7033     9.895891E-01 -2.980856E-02  9.854250E+01
